close,date
78.2625,2020-02-21
74.545,2020-02-24
72.02,2020-02-25
73.1625,2020-02-26
68.38,2020-02-27
68.34,2020-02-28
74.7025,2020-03-02
72.33,2020-03-03
75.685,2020-03-04
73.23,2020-03-05
72.2575,2020-03-06
66.5425,2020-03-09
71.335,2020-03-10
68.8575,2020-03-11
62.0575,2020-03-12
69.4925,2020-03-13
60.5525,2020-03-16
63.215,2020-03-17
61.6675,2020-03-18
61.195,2020-03-19
57.31,2020-03-20
56.0925,2020-03-23
61.72,2020-03-24
61.38,2020-03-25
64.61,2020-03-26
61.935,2020-03-27
63.7025,2020-03-30
63.5725,2020-03-31
60.2275,2020-04-01
61.2325,2020-04-02
60.3525,2020-04-03
65.6175,2020-04-06
64.8575,2020-04-07
66.5175,2020-04-08
66.9975,2020-04-09
68.3125,2020-04-13
71.7625,2020-04-14
71.1075,2020-04-15
71.6725,2020-04-16
70.7,2020-04-17
69.2325,2020-04-20
67.0925,2020-04-21
69.025,2020-04-22
68.7575,2020-04-23
70.7425,2020-04-24
70.7925,2020-04-27
69.645,2020-04-28
71.9325,2020-04-29
73.45,2020-04-30
72.2675,2020-05-01
73.29,2020-05-04
74.39,2020-05-05
75.1575,2020-05-06
75.935,2020-05-07
77.5325,2020-05-08
78.7525,2020-05-11
77.8525,2020-05-12
76.9125,2020-05-13
77.385,2020-05-14
76.9275,2020-05-15
78.74,2020-05-18
78.285,2020-05-19
79.8075,2020-05-20
79.2125,2020-05-21
79.7225,2020-05-22
79.1825,2020-05-26
79.5275,2020-05-27
79.5625,2020-05-28
79.485,2020-05-29
80.4625,2020-06-01
80.835,2020-06-02
81.28,2020-06-03
80.58,2020-06-04
82.875,2020-06-05
83.365,2020-06-08
85.9975,2020-06-09
88.21,2020-06-10
83.975,2020-06-11
84.7,2020-06-12
85.7475,2020-06-15
88.02,2020-06-16
87.8975,2020-06-17
87.9325,2020-06-18
87.43,2020-06-19
89.7175,2020-06-22
91.6325,2020-06-23
90.015,2020-06-24
91.21,2020-06-25
88.4075,2020-06-26
90.445,2020-06-29
91.2,2020-06-30
91.0275,2020-07-01
91.0275,2020-07-02
93.4625,2020-07-06
93.1725,2020-07-07
95.3425,2020-07-08
95.6825,2020-07-09
95.92,2020-07-10
95.4775,2020-07-13
97.0575,2020-07-14
97.725,2020-07-15
96.5225,2020-07-16
96.3275,2020-07-17
98.3575,2020-07-20
97.0,2020-07-21
97.2725,2020-07-22
92.845,2020-07-23
92.615,2020-07-24
94.81,2020-07-27
93.2525,2020-07-28
95.04,2020-07-29
96.19,2020-07-30
106.26,2020-07-31
108.9375,2020-08-03
109.665,2020-08-04
110.0625,2020-08-05
113.9025,2020-08-06
111.1125,2020-08-07
112.7275,2020-08-10
109.375,2020-08-11
113.01,2020-08-12
115.01,2020-08-13
114.9075,2020-08-14
114.6075,2020-08-17
115.5625,2020-08-18
115.7075,2020-08-19
118.275,2020-08-20
124.37,2020-08-21
125.8575,2020-08-24
124.825,2020-08-25
126.5225,2020-08-26
125.01,2020-08-27
124.8075,2020-08-28
129.04,2020-08-31
134.18,2020-09-01
131.4,2020-09-02
120.88,2020-09-03
120.96,2020-09-04
112.82,2020-09-08
117.32,2020-09-09
113.49,2020-09-10
112.0,2020-09-11
115.355,2020-09-14
115.54,2020-09-15
112.13,2020-09-16
110.34,2020-09-17
106.84,2020-09-18
110.08,2020-09-21
111.81,2020-09-22
107.12,2020-09-23
108.22,2020-09-24
112.28,2020-09-25
114.96,2020-09-28
114.09,2020-09-29
115.81,2020-09-30
116.79,2020-10-01
113.02,2020-10-02
116.5,2020-10-05
113.16,2020-10-06
115.08,2020-10-07
114.97,2020-10-08
116.97,2020-10-09
124.4,2020-10-12
121.1,2020-10-13
121.19,2020-10-14
120.71,2020-10-15
119.02,2020-10-16
115.98,2020-10-19
117.51,2020-10-20
116.87,2020-10-21
115.75,2020-10-22
115.04,2020-10-23
115.05,2020-10-26
116.6,2020-10-27
111.2,2020-10-28
115.32,2020-10-29
108.86,2020-10-30
108.77,2020-11-02
110.44,2020-11-03
114.95,2020-11-04
119.03,2020-11-05
118.69,2020-11-06
116.32,2020-11-09
115.97,2020-11-10
119.49,2020-11-11
119.21,2020-11-12
119.26,2020-11-13
120.3,2020-11-16
119.39,2020-11-17
118.03,2020-11-18
118.64,2020-11-19
117.34,2020-11-20
113.85,2020-11-23
115.17,2020-11-24
116.03,2020-11-25
116.59,2020-11-27
119.05,2020-11-30
122.72,2020-12-01
123.08,2020-12-02
122.94,2020-12-03
122.25,2020-12-04
123.75,2020-12-07
124.38,2020-12-08
121.78,2020-12-09
123.24,2020-12-10
122.41,2020-12-11
121.78,2020-12-14
127.88,2020-12-15
127.81,2020-12-16
128.7,2020-12-17
126.655,2020-12-18
128.23,2020-12-21
131.88,2020-12-22
130.96,2020-12-23
131.97,2020-12-24
136.69,2020-12-28
134.87,2020-12-29
133.72,2020-12-30
132.69,2020-12-31
129.41,2021-01-04
131.01,2021-01-05
126.6,2021-01-06
130.92,2021-01-07
132.05,2021-01-08
128.98,2021-01-11
128.8,2021-01-12
130.89,2021-01-13
128.91,2021-01-14
127.14,2021-01-15
127.83,2021-01-19
132.03,2021-01-20
136.87,2021-01-21
139.07,2021-01-22
142.92,2021-01-25
143.16,2021-01-26
142.06,2021-01-27
137.09,2021-01-28
131.96,2021-01-29
134.14,2021-02-01
134.99,2021-02-02
133.94,2021-02-03
137.39,2021-02-04
136.76,2021-02-05
136.91,2021-02-08
136.01,2021-02-09
135.39,2021-02-10
135.13,2021-02-11
135.37,2021-02-12
133.19,2021-02-16
130.84,2021-02-17
129.71,2021-02-18
129.87,2021-02-19
126.0,2021-02-22
125.86,2021-02-23
125.35,2021-02-24
120.99,2021-02-25
121.26,2021-02-26
127.79,2021-03-01
125.12,2021-03-02
122.06,2021-03-03
120.13,2021-03-04
121.42,2021-03-05
116.36,2021-03-08
121.085,2021-03-09
119.98,2021-03-10
121.96,2021-03-11
121.03,2021-03-12
123.99,2021-03-15
125.57,2021-03-16
124.76,2021-03-17
120.53,2021-03-18
119.99,2021-03-19
123.39,2021-03-22
122.54,2021-03-23
120.09,2021-03-24
120.59,2021-03-25
121.21,2021-03-26
121.39,2021-03-29
119.9,2021-03-30
122.15,2021-03-31
123.0,2021-04-01
125.9,2021-04-05
126.21,2021-04-06
127.9,2021-04-07
130.36,2021-04-08
132.995,2021-04-09
131.24,2021-04-12
134.43,2021-04-13
132.03,2021-04-14
134.5,2021-04-15
134.16,2021-04-16
134.84,2021-04-19
133.11,2021-04-20
133.5,2021-04-21
131.94,2021-04-22
134.32,2021-04-23
134.72,2021-04-26
134.39,2021-04-27
133.58,2021-04-28
133.48,2021-04-29
131.46,2021-04-30
132.54,2021-05-03
127.85,2021-05-04
128.1,2021-05-05
129.74,2021-05-06
130.21,2021-05-07
126.85,2021-05-10
125.91,2021-05-11
122.77,2021-05-12
124.97,2021-05-13
127.45,2021-05-14
126.27,2021-05-17
124.85,2021-05-18
124.69,2021-05-19
127.31,2021-05-20
125.43,2021-05-21
127.1,2021-05-24
126.9,2021-05-25
126.85,2021-05-26
125.28,2021-05-27
124.61,2021-05-28
124.28,2021-06-01
125.06,2021-06-02
123.54,2021-06-03
125.89,2021-06-04
125.9,2021-06-07
126.74,2021-06-08
127.13,2021-06-09
126.11,2021-06-10
127.35,2021-06-11
130.48,2021-06-14
129.64,2021-06-15
130.15,2021-06-16
131.79,2021-06-17
130.46,2021-06-18
132.3,2021-06-21
133.98,2021-06-22
133.7,2021-06-23
133.41,2021-06-24
133.11,2021-06-25
134.78,2021-06-28
136.33,2021-06-29
136.96,2021-06-30
137.27,2021-07-01
139.96,2021-07-02
142.02,2021-07-06
144.57,2021-07-07
143.24,2021-07-08
145.11,2021-07-09
144.5,2021-07-12
145.64,2021-07-13
149.15,2021-07-14
148.48,2021-07-15
146.39,2021-07-16
142.45,2021-07-19
146.15,2021-07-20
145.4,2021-07-21
